movie_id,company_id,company
147886,8411,"Metro-Goldwyn-Mayer (MGM)"
80030,8411,"Metro-Goldwyn-Mayer (MGM)"
57243,83,"France 2 Cinéma"
57243,5358,Canal+
71672,491,"Summit Entertainment"
202941,8411,"Metro-Goldwyn-Mayer (MGM)"
32708,850,Eurimages
25831,2,"Walt Disney Pictures"
52264,591,"France 3 Cinéma"
77076,9266,"American International Pictures (AIP)"
79548,126,"Lakeshore Entertainment"
79548,491,"Summit Entertainment"
72213,559,"TriStar Pictures"
57214,1885,"Silver Pictures"
73723,33,"Universal Pictures"
73937,444,"Dune Entertainment"
73937,711,"Fox 2000 Pictures"
18705,306,"Twentieth Century Fox Film Corporation"
75674,7295,"Relativity Media"
59962,444,"Dune Entertainment"
49529,2,"Walt Disney Pictures"
123320,201,Arte
74406,5996,BBC
77949,288,"BBC Films"
41411,9,Gaumont
41411,3823,"TF1 Films Production"
41411,5358,Canal+
41411,6301,CinéCinéma
41411,16804,"France 3 Cinema"
41411,18367,"Centre National de la Cinématographie (CNC)"
45595,7396,Pathe
91010,7429,"HBO Films"
64688,5,"Columbia Pictures"
64688,7295,"Relativity Media"
64688,8411,"Metro-Goldwyn-Mayer (MGM)"
37942,441,"Columbia Pictures Corporation"
144326,306,"Twentieth Century Fox Film Corporation"
81796,5358,Canal+
81796,6896,EuropaCorp
81796,10611,Ciné+
52826,8411,"Metro-Goldwyn-Mayer (MGM)"
99698,4606,"Zweites Deutsches Fernsehen (ZDF)"
145504,6639,"Televisión Española (TVE)"
64992,5798,"Shaw Brothers"
81025,288,"BBC Films"
81025,1632,Lionsgate
81025,2452,"UK Film Council"
77553,6194,"Warner Bros."
158068,882,"Toho Company"
57165,6194,"Warner Bros."
86820,856,"Wild Bunch"
71552,33,"Universal Pictures"
22970,1632,Lionsgate
81342,694,StudioCanal
51991,591,"France 3 Cinéma"
51991,694,StudioCanal
51991,5358,Canal+
51991,6301,CinéCinéma
51991,18367,"Centre National de la Cinématographie (CNC)"
43309,441,"Columbia Pictures Corporation"
70436,7295,"Relativity Media"
76346,2,"Walt Disney Pictures"
62764,7295,"Relativity Media"
44833,33,"Universal Pictures"
50365,6301,CinéCinéma
50365,18367,"Centre National de la Cinématographie (CNC)"
206953,5996,BBC
45993,881,"Daiei Studios"
73872,45970,"France 2 Cinéma"
28715,9266,"American International Pictures (AIP)"
82327,5358,Canal+
82327,6301,CinéCinéma
82327,6916,"Arte France Cinéma"
111037,306,"Twentieth Century Fox Film Corporation"
40720,9,Gaumont
86416,441,"Columbia Pictures Corporation"
75802,6916,"Arte France Cinéma"
48646,6,"RKO Radio Pictures"
72207,33,"Universal Pictures"
72207,7295,"Relativity Media"
73336,33,"Universal Pictures"
23281,4,"Paramount Pictures"
328918,10330,"Universal International Pictures (UI)"
77877,79,"Village Roadshow Pictures"
77877,6194,"Warner Bros."
106605,6,"RKO Radio Pictures"
162284,8411,"Metro-Goldwyn-Mayer (MGM)"
61361,3823,"TF1 Films Production"
57119,559,"TriStar Pictures"
62213,79,"Village Roadshow Pictures"
62213,6194,"Warner Bros."
13486,33,"Universal Pictures"
58390,17513,"Film i Väst"
79934,13969,"Globo Filmes"
200157,5996,BBC
84496,8411,"Metro-Goldwyn-Mayer (MGM)"
76493,4,"Paramount Pictures"
28500,5996,BBC
14400,856,"Wild Bunch"
14400,3823,"TF1 Films Production"
76011,306,"Twentieth Century Fox Film Corporation"
41154,56,"Amblin Entertainment"
58595,33,"Universal Pictures"
109016,33,"Universal Pictures"
118131,8411,"Metro-Goldwyn-Mayer (MGM)"
77561,856,"Wild Bunch"
77561,5358,Canal+
77561,6639,"Televisión Española (TVE)"
77561,9335,"Canal+ España"
72197,5,"Columbia Pictures"
111839,3268,"Home Box Office (HBO)"
26864,6639,"Televisión Española (TVE)"
70981,306,"Twentieth Century Fox Film Corporation"
70981,444,"Dune Entertainment"
92591,97,"Castle Rock Entertainment"
101288,306,"Twentieth Century Fox Film Corporation"
