movie_id,director
2264,"Rainer Werner Fassbinder"
12208,"John Huston"
11617,"John Ford"
2528,"Claude Chabrol"
109962,"George Cukor"
13945,"Albert Pyun"
4241,"Takashi Miike"
17360,"John Huston"
39274,"John Frankenheimer"
67772,"Robert Altman"
17590,"Sidney Lumet"
1429,"Spike Lee"
3131,"Martin Scorsese"
25848,"Henry Hathaway"
11706,"King Vidor"
26946,"Roger Corman"
16993,"John Huston"
640,"Steven Spielberg"
262,"Martin Scorsese"
36273,"Takashi Miike"
11222,"Wim Wenders"
8073,"Jean-Luc Godard"
18692,"Richard Thorpe"
15734,"Norman Taurog"
26252,"Julien Duvivier"
31916,"Mervyn LeRoy"
26761,"Raoul Walsh"
8286,"Claude Chabrol"
10724,"Clint Eastwood"
28307,"Wim Wenders"
37917,"Clint Eastwood"
30875,"Lucio Fulci"
8288,"Woody Allen"
32692,"Jean-Luc Godard"
42135,"Rainer Werner Fassbinder"
2262,"Rainer Werner Fassbinder"
30874,"Lucio Fulci"
30363,"Wim Wenders"
9699,"Blake Edwards"
18587,"J. Lee Thompson"
2984,"Charlie Chaplin"
59201,"J. Lee Thompson"
26172,"J. Lee Thompson"
26173,"Richard Fleischer"
33055,"J. Lee Thompson"
31598,"Sidney Lumet"
59401,"John Huston"
37258,"Sidney Lumet"
17729,"Anthony Mann"
2525,"John Huston"
29912,"Henry Koster"
10514,"Robert Wise"
41461,"John Frankenheimer"
24961,"Sidney Lumet"
42792,"Edward Dmytryk"
43232,"George Cukor"
5921,"Henry Hathaway"
26593,"Howard Hawks"
38732,"Anthony Mann"
18721,"Anthony Mann"
14551,"Anthony Mann"
51426,"Raoul Walsh"
42986,"Vincente Minnelli"
43490,"Raoul Walsh"
18200,"Henry Hathaway"
42640,"Raoul Walsh"
44043,"Fritz Lang"
30462,"Michael Curtiz"
37103,"John Huston"
6523,"Henry Hathaway"
2527,"Claude Chabrol"
26205,"Henry Hathaway"
6643,"John Huston"
41670,"Sidney Lumet"
33638,"John Huston"
42995,"Blake Edwards"
216,"Rainer Werner Fassbinder"
52758,"Fritz Lang"
38171,"Anatole Litvak"
19957,"Richard Thorpe"
39231,"Howard Hawks"
24993,"Albert Pyun"
21449,"Woody Allen"
4984,"Joseph Sargent"
41206,"George Cukor"
18148,"Yasujirō Ozu"
9051,"Blake Edwards"
120683,"Michael Apted"
936,"Blake Edwards"
12268,"Blake Edwards"
26246,"Michael Apted"
39859,"Richard Fleischer"
43041,"Michael Curtiz"
10739,"Woody Allen"
6723,"Clint Eastwood"
28761,"Clint Eastwood"
29449,"Robert Altman"
3087,"Michael Curtiz"
322,"Clint Eastwood"
10930,"Claude Chabrol"
31397,"Albert Pyun"
50374,"John Frankenheimer"
41521,"Henry Koster"
8289,"Michael Apted"
5143,"Woody Allen"
12395,"Michael Apted"
1626,"Jean-Luc Godard"
43875,"John Ford"
43436,"Mervyn LeRoy"
17687,"William A. Wellman"
41465,"Michael Curtiz"
17641,"Clarence Brown"
898,"John Frankenheimer"
2000,"Werner Herzog"
3089,"Howard Hawks"
995,"John Ford"
1594,"Blake Edwards"
32318,"Buster Keaton"
3062,"Lloyd Bacon"
70881,"Clarence Brown"
11519,"Steven Spielberg"
33517,"Wim Wenders"
25431,"George Cukor"
52036,"Robert Altman"
26983,"Robert Wise"
83726,"Robert Altman"
26712,"Raoul Walsh"
3088,"John Ford"
23567,"Howard Hawks"
22584,"Howard Hawks"
27725,"Raoul Walsh"
980,"William A. Wellman"
16933,"Raoul Walsh"
42094,"Blake Edwards"
26884,"Frank Capra"
9696,"Takashi Miike"
28963,"Raoul Walsh"
9838,"J. Lee Thompson"
797,"Ingmar Bergman"
42602,"Ingmar Bergman"
60792,"Edward Dmytryk"
47474,"Ingmar Bergman"
133919,"Ingmar Bergman"
10843,"Martin Scorsese"
28276,"Yasujirō Ozu"
502,"Sidney Lumet"
20561,"Michael Apted"
21594,"Fritz Lang"
44864,"Ingmar Bergman"
24650,"King Vidor"
43525,"John Huston"
10261,"Blake Edwards"
33575,"George Cukor"
2786,"Jean-Luc Godard"
8075,"Jean-Luc Godard"
44098,"Vincente Minnelli"
11656,"Ingmar Bergman"
16284,"J. Lee Thompson"
25009,"John Ford"
14589,"W.S. Van Dyke"
14594,"Richard Thorpe"
14590,"W.S. Van Dyke"
14588,"W.S. Van Dyke"
30137,"Roger Corman"
42090,"Ingmar Bergman"
11030,"Woody Allen"
29454,"Ingmar Bergman"
26372,"Ingmar Bergman"
11506,"Ingmar Bergman"
29455,"Ingmar Bergman"
11602,"Ingmar Bergman"
29453,"Ingmar Bergman"
11700,"Ingmar Bergman"
47735,"Ingmar Bergman"
14703,"John Huston"
35806,"John Huston"
3547,"John Huston"
41089,"John Huston"
42179,"John Huston"
31581,"Roger Corman"
22694,"Roger Corman"
12762,"Woody Allen"
22642,"Roger Corman"
29235,"Roger Corman"
42725,"Roger Corman"
18283,"Vincente Minnelli"
26234,"Richard Fleischer"
203,"Martin Scorsese"
29740,"Mervyn LeRoy"
3072,"Roger Corman"
27545,"Roger Corman"
11315,"Takashi Miike"
29592,"Vincente Minnelli"
16905,"Michael Curtiz"
41204,"Roy Del Ruth"
19128,"Fritz Lang"
32652,"Michael Curtiz"
27115,"Michael Curtiz"
73194,"John Ford"
28257,"Roy Del Ruth"
20643,"W.S. Van Dyke"
36786,"Fritz Lang"
31623,"William A. Wellman"
41662,"Robert Altman"
67217,"Werner Herzog"
34847,"Buster Keaton"
10178,"Edward Dmytryk"
71125,"Robert Altman"
52959,"Robert Wise"
42658,"Robert Wise"
18333,"Ingmar Bergman"
37658,"Mervyn LeRoy"
43336,"Robert Wise"
41495,"Mervyn LeRoy"
43805,"King Vidor"
15794,"Raoul Walsh"
26175,"Richard Thorpe"
47653,"Charlie Chaplin"
42812,"Clarence Brown"
29353,"Edward F. Cline"
17761,"William A. Wellman"
594,"Steven Spielberg"
19096,"Edward Dmytryk"
54028,"Vincente Minnelli"
57684,"William A. Wellman"
6081,"Blake Edwards"
13696,"Michael Curtiz"
2912,"Claude Chabrol"
701,"Buster Keaton"
61391,"Raoul Walsh"
18643,"Gordon Douglas"
43004,"Sidney Lumet"
65994,"Henry Hathaway"
30054,"Anthony Mann"
11897,"John Ford"
11897,"Henry Hathaway"
11897,"Richard Thorpe"
12206,"Fritz Lang"
39209,"Edward Dmytryk"
72613,"John Ford"
40374,"Clint Eastwood"
43485,"Michael Curtiz"
62694,"Anatole Litvak"
10910,"John Huston"
31522,"Jean-Luc Godard"
17218,"Robert Wise"
53198,"Martin Scorsese"
50247,"Yasujirō Ozu"
41975,"Claude Chabrol"
60760,"Claude Chabrol"
18693,"Norman Taurog"
8745,"Norman Taurog"
45335,"Norman Taurog"
18690,"Norman Taurog"
16153,"Martin Scorsese"
42694,"Martin Scorsese"
4176,"Sidney Lumet"
26690,"Richard Fleischer"
43105,"Roy Del Ruth"
31655,"Roger Corman"
17818,"Raoul Walsh"
26347,"Jean-Luc Godard"
58182,"Norman Taurog"
50085,"King Vidor"
50034,"Robert Altman"
42401,"Edward F. Cline"
71065,"Clarence Brown"
42510,"Charlie Chaplin"
29267,"Fritz Lang"
992,"Buster Keaton"
3060,"King Vidor"
31411,"Buster Keaton"
3061,"King Vidor"
42538,"Raoul Walsh"
25768,"Buster Keaton"
27899,"Mervyn LeRoy"
42816,"King Vidor"
51394,"William A. Wellman"
3574,"Michael Curtiz"
877,"Howard Hawks"
28268,"Yasujirō Ozu"
56724,"George Cukor"
39130,"George Cukor"
31511,"Mervyn LeRoy"
43130,"Frank Capra"
50073,"William A. Wellman"
46910,"John Ford"
43896,"John Ford"
14615,"Fritz Lang"
24807,"Frank Capra"
38721,"Clarence Brown"
43874,"George Cukor"
20642,"Richard Thorpe"
37650,"William A. Wellman"
43867,"W.S. Van Dyke"
16274,"George Cukor"
37698,"Raoul Walsh"
26635,"Lloyd Bacon"
43811,"Clarence Brown"
26201,"Michael Curtiz"
29884,"Howard Hawks"
33112,"Henry Koster"
28789,"Edward F. Cline"
18790,"John Huston"
43522,"Raoul Walsh"
23336,"Frank Capra"
23336,"Anatole Litvak"
22387,"Mervyn LeRoy"
27655,"Julien Duvivier"
23051,"Lloyd Bacon"
28436,"Robert Wise"
21451,"Fritz Lang"
18229,"Michael Curtiz"
52440,"Clarence Brown"
17136,"Fritz Lang"
18771,"John Ford"
29244,"John Ford"
43452,"Roy Del Ruth"
37347,"John Ford"
35032,"Vincente Minnelli"
20638,"William A. Wellman"
25698,"Buster Keaton"
43961,"Richard Thorpe"
24003,"Fritz Lang"
28431,"Richard Thorpe"
43348,"Raoul Walsh"
20127,"George Cukor"
24518,"Vincente Minnelli"
3111,"George Cukor"
94123,"Vincente Minnelli"
15697,"Richard Thorpe"
29071,"Roger Corman"
56156,"John Ford"
43119,"Roger Corman"
42661,"Richard Fleischer"
58902,"J. Lee Thompson"
46918,"Yasujirō Ozu"
50474,"Vincente Minnelli"
79827,"Roger Corman"
24188,"Dino Risi"
52705,"Jean-Luc Godard"
17696,"Gordon Douglas"
23574,"J. Lee Thompson"
16850,"Anthony Mann"
24395,"Sidney Lumet"
3482,"John Frankenheimer"
20379,"John Frankenheimer"
42702,"Roger Corman"
26204,"Gordon Douglas"
50789,"Jean-Luc Godard"
14801,"Joseph Sargent"
26525,"Robert Altman"
38222,"Vincente Minnelli"
839,"Steven Spielberg"
84285,"Roger Corman"
32044,"Robert Altman"
31656,"Robert Altman"
10711,"John Frankenheimer"
12637,"Martin Scorsese"
45695,"Robert Altman"
45169,"Robert Altman"
32689,"Jean-Luc Godard"
15301,"Steven Spielberg"
11513,"Werner Herzog"
20562,"Michael Apted"
68773,"Albert Pyun"
13995,"Albert Pyun"
26103,"Albert Pyun"
64559,"Claude Chabrol"
36282,"Takashi Miike"
11075,"Takashi Miike"
33355,"Joseph Sargent"
13899,"Takashi Miike"
36222,"Takashi Miike"
16184,"Takashi Miike"
9694,"Takashi Miike"
20912,"Spike Lee"
20544,"Joseph Sargent"
70,"Clint Eastwood"
31713,"Richard Fleischer"
55309,"Robert Altman"
38724,"Vincente Minnelli"
12487,"Takashi Miike"
43872,"Roy Del Ruth"
5183,"George Cukor"
88288,"Lloyd Bacon"
2567,"Martin Scorsese"
16442,"Howard Hawks"
23832,"Mario Monicelli"
43504,"Lloyd Bacon"
42390,"Norman Taurog"
100894,"Michael Curtiz"
44463,"Frank Capra"
661,"Rainer Werner Fassbinder"
10310,"Rainer Werner Fassbinder"
36851,"William A. Wellman"
53200,"Werner Herzog"
55624,"Werner Herzog"
16638,"Anthony Mann"
44875,"Roy Del Ruth"
4710,"Jean-Luc Godard"
15771,"Michael Apted"
31835,"Howard Hawks"
18770,"Mervyn LeRoy"
